student_id,firstName,lastName,gender,dob,email,contactNo,address,c_id,sem
1,John,Doe,M,1998-05-10,johndoe@example.com,1234567890,123 Main St,1,2
2,Jane,Smith,F,1999-08-15,janesmith@example.com,9876543210,456 Elm St,2,3
3,Alex,Johnson,M,2000-02-20,alexjohnson@example.com,5555555555,789 Oak St,1,2
4,Emily,Williams,F,1997-11-25,emilywilliams@example.com,1112223333,101 Pine St,3,1
5,Michael,Brown,M,1996-07-30,michaelbrown@example.com,9998887777,202 Cedar St,2,4
6,Sophia,Jones,F,1998-12-05,sophiajones@example.com,4443332222,303 Maple St,1,3
7,William,Garcia,M,1999-04-18,williamgarcia@example.com,7777777777,404 Birch St,3,2
8,Olivia,Martinez,F,1995-09-22,oliviamartinez@example.com,6666666666,505 Walnut St,2,4
9,James,Robinson,M,2001-01-07,jamesrobinson@example.com,3334445555,606 Cherry St,1,3
10,Emma,Hernandez,F,1997-06-12,emmahernandez@example.com,2225558888,707 Peach St,3,1
11,Aiden,King,M,1998-03-28,aidenking@example.com,1231231234,808 Plum St,1,4
12,Mia,Lopez,F,2000-10-01,mialopez@example.com,9876543210,909 Orange St,2,2
13,Liam,Gonzalez,M,1999-07-16,liamgonzalez@example.com,1112223333,010 Grape St,3,3
14,Charlotte,Perez,F,1996-12-03,charlotteperez@example.com,9998887777,111 Lemon St,1,4
15,Ethan,Gomez,M,1998-09-09,ethangomez@example.com,5554443333,212 Lime St,2,1
16,Isabella,Campbell,F,1997-04-14,isabellacampbell@example.com,7776665555,313 Strawberry St,3,2
17,Mason,Scott,M,2000-11-29,masonscott@example.com,6665554444,414 Blueberry St,1,1
18,Amelia,Carter,F,1994-08-24,ameliacarter@example.com,3332221111,515 Raspberry St,2,3
19,Logan,Perez,M,1999-01-19,loganperez@example.com,2223334444,616 Blackberry St,3,4
20,Sofia,Turner,F,1998-05-04,sofiaturner@example.com,9990001111,717 Cranberry St,1,2
21,Elijah,Phillips,M,1996-03-08,elijahphillips@example.com,8889990000,818 Watermelon St,2,3
22,Avery,Evans,F,1997-10-13,averyevans@example.com,7778889999,919 Kiwi St,3,4
23,Harper,Parker,F,2001-02-18,harperparker@example.com,6667778888,020 Guava St,1,1
24,Oliver,Edwards,M,1995-07-23,oliveredwards@example.com,5556667777,121 Mango St,2,2
25,Elizabeth,Collins,F,1998-12-28,elizabethcollins@example.com,4445556666,222 Pineapple St,3,3
26,Jackson,Stewart,M,1999-09-03,jacksonstewart@example.com,3334445555,323 Passionfruit St,1,4
27,Ella,Sanchez,F,1997-04-08,ellasanchez@example.com,2223334444,424 Dragonfruit St,2,1
28,Sebastian,Morris,M,2000-11-13,sebastianmorris@example.com,1112223333,525 Papaya St,3,2
29,Avery,Rogers,M,1998-08-18,averyrogers@example.com,0009998887,626 Lychee St,1,1
30,Lily,Hill,F,1996-06-23,lilyhill@example.com,9990001112,727 Kiwano St,2,3
31,Grayson,Bell,M,1999-01-28,graysonbell@example.com,8889990001,828 Kumquat St,3,4
32,Scarlett,Wood,F,1998-05-05,scarlettwood@example.com,7778889992,929 Nectarine St,1,2
33,Levi,Nelson,M,1997-11-10,levinelson@example.com,6667778883,030 Tangelo St,2,3
34,Zoey,Bailey,F,2000-06-15,zoeybailey@example.com,5556667774,131 Ugli St,3,4
35,Lincoln,Gomez,M,2001-03-20,lincolngomez@example.com,4445556665,232 Pomelo St,1,1
36,Luna,Foster,F,1999-12-25,lunafoster@example.com,3334445556,333 Kumquat St,2,2
37,Brooks,Hayes,M,1996-09-30,brookshayes@example.com,2223334447,434 Nectarine St,3,3
38,Hannah,Barnes,F,1998-04-05,hannahbarnes@example.com,1112223338,535 Ugli St,1,4
39,Nicholas,Howard,M,1997-01-10,nicholashoward@example.com,0009998889,636 Tangelo St,2,1
40,Aria,Long,F,1995-08-15,arialong@example.com,9990001110,737 Pomelo St,3,2
41,Jack,Murphy,M,2000-02-20,jackmurphy@example.com,8889990001,838 Tangerine St,1,3
42,Ellie,Rivera,F,1999-07-25,ellierivera@example.com,7778889992,939 Persimmon St,2,4
43,Matthew,Collins,M,1998-12-30,matthewcollins@example.com,6667778883,040 Mango St,3,1
44,Nora,Reed,F,1996-06-05,norareed@example.com,5556667774,141 Banana St,1,2
45,Lucas,Cook,M,1999-03-10,lucascook@example.com,4445556665,242 Kiwi St,2,3
46,Eleanor,Richardson,F,2000-10-15,eleanorrichardson@example.com,3334445556,343 Papaya St,3,4
47,Axel,Ward,M,1998-11-20,axelward@example.com,2223334447,444 Lychee St,1,1
48,Mila,Morales,F,1997-05-25,milamorales@example.com,1112223338,545 Mango St,2,2
49,Hudson,Perry,M,2001-04-30,hudsonperry@example.com,0009998889,646 Pineapple St,3,3
50,Stella,Bell,F,1998-02-05,stellabell@example.com,9990001110,747 Guava St,1,4
